Timestamp,Source IP,Source Port,Dest IP,Dest Port,Protocol,Flags,Size,Event,Severity
2025-12-11 10:38:32,192.168.18.111,58510,34.160.144.191,443,TCP,A,52,TCP connection from 192.168.18.111:58510 to 34.160.144.191:443 [A] HTTPS,INFO
2025-12-11 10:38:33,192.168.18.111,57246,151.101.141.91,443,TCP,PA,98,TCP connection from 192.168.18.111:57246 to 151.101.141.91:443 [PA] HTTPS,INFO
2025-12-11 10:38:33,192.168.18.111,42722,151.101.141.91,443,TCP,PA,98,TCP connection from 192.168.18.111:42722 to 151.101.141.91:443 [PA] HTTPS,INFO
2025-12-11 10:38:33,151.101.141.91,443,192.168.18.111,42722,TCP,A,52,TCP connection from 151.101.141.91:443 to 192.168.18.111:42722 [A],INFO
2025-12-11 10:38:33,151.101.141.91,443,192.168.18.111,42722,TCP,PA,98,TCP connection from 151.101.141.91:443 to 192.168.18.111:42722 [PA],INFO
2025-12-11 10:38:33,151.101.141.91,443,192.168.18.111,57246,TCP,A,52,TCP connection from 151.101.141.91:443 to 192.168.18.111:57246 [A],INFO
2025-12-11 10:38:33,192.168.18.111,42722,151.101.141.91,443,TCP,A,52,TCP connection from 192.168.18.111:42722 to 151.101.141.91:443 [A] HTTPS,INFO
2025-12-11 10:38:33,151.101.141.91,443,192.168.18.111,57246,TCP,PA,98,TCP connection from 151.101.141.91:443 to 192.168.18.111:57246 [PA],INFO
2025-12-11 10:38:34,192.168.18.111,57246,151.101.141.91,443,TCP,A,52,TCP connection from 192.168.18.111:57246 to 151.101.141.91:443 [A] HTTPS,INFO
2025-12-11 10:38:35,172.64.148.235,443,192.168.18.111,59946,TCP,PA,76,TCP connection from 172.64.148.235:443 to 192.168.18.111:59946 [PA],INFO
2025-12-11 10:38:35,192.168.18.111,59946,172.64.148.235,443,TCP,PA,80,TCP connection from 192.168.18.111:59946 to 172.64.148.235:443 [PA] HTTPS,INFO
2025-12-11 10:38:35,172.64.148.235,443,192.168.18.111,59946,TCP,A,52,TCP connection from 172.64.148.235:443 to 192.168.18.111:59946 [A],INFO
2025-12-11 10:38:38,192.168.18.1,0,192.168.18.111,0,ICMP,NONE,84,ICMP packet from 192.168.18.1 to 192.168.18.111,INFO
2025-12-11 10:38:38,192.168.18.111,0,192.168.18.1,0,ICMP,NONE,84,ICMP packet from 192.168.18.111 to 192.168.18.1,INFO
2025-12-11 10:38:38,192.168.18.1,0,192.168.18.111,0,ICMP,NONE,84,ICMP packet from 192.168.18.1 to 192.168.18.111,INFO
2025-12-11 10:38:38,192.168.18.111,0,192.168.18.1,0,ICMP,NONE,84,ICMP packet from 192.168.18.111 to 192.168.18.1,INFO
2025-12-11 10:38:40,192.168.18.111,46520,192.168.18.1,53,UDP,NONE,84,UDP packet from 192.168.18.111:46520 to 192.168.18.1:53 DNS,INFO
2025-12-11 10:38:40,192.168.18.1,53,192.168.18.111,46520,UDP,NONE,139,UDP packet from 192.168.18.1:53 to 192.168.18.111:46520,INFO
2025-12-11 10:38:43,192.168.18.111,42694,192.200.0.102,443,TCP,A,52,TCP connection from 192.168.18.111:42694 to 192.200.0.102:443 [A] HTTPS,INFO
